time_sec,throughput_mbps,rtt_ms,jitter_ms,cwnd_bytes,retransmits,label,pacing_rate,delivery_rate,pacing_gain
0,14.217005100833928,34.044,0.0,23080,15,BBRV3 Flow,9954616bps,4928312bps,1.0
1,4.688200828961945,27.076,6.967999999999996,33304,31,BBRV3 Flow,15983576bps,5063376bps,1.0
2,8.349898835369311,26.681,0.3949999999999996,21720,28,BBRV3 Flow,3972136bps,4719968bps,1.0
3,4.16840589520464,11.145,15.536,21720,34,BBRV3 Flow,8477456bps,4725584bps,1.0
4,8.339296001231972,21.583,10.438,27512,43,BBRV3 Flow,5207320bps,4199376bps,1.0
5,8.340255302684497,11.294,10.288999999999998,13032,72,BBRV3 Flow,5362488bps,4781240bps,1.0
6,4.172551698677493,11.08,0.2140000000000004,7240,30,BBRV3 Flow,4754448bps,5015584bps,0.90625
7,4.167347708649664,7.71,3.37,5792,35,BBRV3 Flow,3682992bps,4616976bps,1.0
8,4.1699104279644805,8.792,1.082,5792,31,BBRV3 Flow,4625592bps,4818232bps,0.90625
9,4.169456171219109,17.932,9.14,8688,29,BBRV3 Flow,6487792bps,5113968bps,1.25
10,4.170515180357972,10.643,7.288999999999998,7240,32,BBRV3 Flow,11998104bps,4695032bps,1.25
11,4.169077037054693,13.953,3.3099999999999987,14480,9,BBRV3 Flow,17091624bps,4161512bps,1.0
12,0.0,12.384,1.568999999999999,10136,12,BBRV3 Flow,9400936bps,5650392bps,1.0
13,4.171441415355146,28.771,16.387,13032,6,BBRV3 Flow,50975304bps,40530064bps,1.25
14,4.172919020808525,35.335,6.564,70952,2,BBRV3 Flow,33529552bps,8498008bps,0.90625
15,4.169084986735681,56.275,20.94,68056,8,BBRV3 Flow,8776848bps,4806472bps,1.0
16,8.34425991052389,68.669,12.393999999999998,66608,18,BBRV3 Flow,18555800bps,2931440bps,1.0
17,4.1687685134829975,40.215,28.453999999999997,36200,16,BBRV3 Flow,5803384bps,5692376bps,1.0
18,8.344301707625473,12.918,27.297000000000004,36200,9,BBRV3 Flow,5246288bps,2214344bps,1.0
19,4.167689288748689,38.213,25.295,28960,19,BBRV3 Flow,4871696bps,5305064bps,1.0
20,8.342615725888175,18.914,19.299,14480,47,BBRV3 Flow,4972176bps,4261560bps,1.0
21,4.169297651955115,10.496,8.418000000000001,10136,39,BBRV3 Flow,5018664bps,4570704bps,1.0
22,4.17011920058182,5.998,4.498,5792,35,BBRV3 Flow,1928992bps,5076248bps,1.0
23,4.169326969656556,9.344,3.345999999999999,7240,34,BBRV3 Flow,4820432bps,3591192bps,1.0
24,8.346965643633032,8.026,1.3179999999999996,7240,39,BBRV3 Flow,4992000bps,4903280bps,1.0
25,4.17024,71.16,63.134,14480,37,BBRV3 Flow,22080896bps,7789776bps,1.0
26,0.0,24.365,46.795,14480,14,BBRV3 Flow,19669992bps,7763904bps,1.0
27,0.0,25.313,0.9480000000000004,18824,7,BBRV3 Flow,27975192bps,2181200bps,1.0
28,4.169126723058265,14.816,10.496999999999998,13032,16,BBRV3 Flow,49635016bps,9558904bps,1.0
29,4.170769760739812,28.164,13.348,21720,3,BBRV3 Flow,8010584bps,2346912bps,1.0
30,4.692378640815455,29.54,1.3759999999999977,86880,4,BBRV3 Flow,15209896bps,5003488bps,0.90625
31,4.691566979382785,31.174,1.6340000000000003,92672,13,BBRV3 Flow,8973032bps,4974520bps,1.0
32,8.345528937721125,18.366,12.808,59368,24,BBRV3 Flow,4418496bps,4116560bps,1.0
33,8.340079331382448,20.998,2.632000000000001,15928,49,BBRV3 Flow,6849224bps,4024312bps,1.0
34,4.169556059453749,25.618,4.619999999999997,15928,43,BBRV3 Flow,5452032bps,4829680bps,1.0
35,8.340921973187575,27.241,1.623000000000001,21720,50,BBRV3 Flow,4949624bps,4052616bps,1.0
36,4.169935777810094,9.524,17.717,5792,34,BBRV3 Flow,5379576bps,2772944bps,1.0
37,4.16807264006901,11.73,2.2060000000000013,8688,34,BBRV3 Flow,8158912bps,4298064bps,1.0
38,4.173875456684144,11.811,0.0809999999999995,10136,34,BBRV3 Flow,4854608bps,3885616bps,1.0
39,8.33971249983193,11.971,0.1600000000000001,10136,33,BBRV3 Flow,4784200bps,4201856bps,1.0
40,4.170531836522584,13.643,1.6720000000000006,5792,28,BBRV3 Flow,31584536bps,11608664bps,1.25
41,0.0,56.544,42.901,10136,6,BBRV3 Flow,13286952bps,4599784bps,1.0
42,4.174627569900755,66.339,9.795000000000002,15928,8,BBRV3 Flow,14911080bps,5141248bps,1.0
43,0.0,24.986,41.353,14480,8,BBRV3 Flow,6898440bps,10635104bps,1.0
44,4.1711076746955325,45.573,20.587,27512,4,BBRV3 Flow,6121240bps,5020960bps,1.0
45,8.344042970390312,43.12,2.453000000000003,79640,3,BBRV3 Flow,4904504bps,4891200bps,1.0
46,4.691740643482667,55.85,12.730000000000004,81088,5,BBRV3 Flow,4096544bps,5714848bps,1.0
47,4.16935181548902,22.798,33.05200000000001,36200,37,BBRV3 Flow,6404056bps,4480800bps,1.25
48,8.342632637045726,20.236,2.5619999999999976,14480,63,BBRV3 Flow,5132816bps,2562968bps,1.0
49,8.340897114059848,7.68,12.556,14480,48,BBRV3 Flow,5004304bps,5054728bps,1.0
50,4.168068667154853,9.288,1.6080000000000003,5792,60,BBRV3 Flow,5299600bps,3516080bps,1.0
51,4.168914075275321,8.306,0.9820000000000012,13032,22,BBRV3 Flow,4206600bps,4560984bps,1.0
52,8.347951611583206,11.879,3.5730000000000004,10136,28,BBRV3 Flow,5341984bps,4978432bps,1.0
53,4.170002384755621,9.966,1.9130000000000005,5792,29,BBRV3 Flow,7132048bps,4639432bps,1.25
54,4.169185354065736,8.238,1.7279999999999998,11584,41,BBRV3 Flow,4821800bps,6579320bps,1.0
55,4.169593829386448,20.771,12.533,8688,26,BBRV3 Flow,18443008bps,22669272bps,1.0
56,0.0,15.581,5.190000000000001,10136,5,BBRV3 Flow,29048544bps,4014552bps,1.25
57,4.172777161101126,36.171,20.59,11584,3,BBRV3 Flow,13825592bps,4538944bps,1.0
58,4.172772930345693,10.772,25.399,7240,13,BBRV3 Flow,19608472bps,31248984bps,1.0
59,4.1690810118913975,27.359,16.587000000000003,26064,10,BBRV3 Flow,38724104bps,5102936bps,1.0
60,4.169114301446345,43.717,16.357999999999997,27512,6,BBRV3 Flow,5503304bps,7331640bps,1.0
61,4.169468594868275,33.877,9.839999999999996,23168,4,BBRV3 Flow,4719264bps,3650896bps,1.0
62,8.348093550389677,12.345,21.532000000000004,30408,3,BBRV3 Flow,6097312bps,4624344bps,1.25
63,9.37826624053394,56.968,44.623000000000005,114392,2,BBRV3 Flow,6351448bps,5570232bps,0.90625
64,6.77828030897942,74.994,18.026,98464,40,BBRV3 Flow,5254488bps,2498704bps,1.0
65,5.209023297155701,42.748,32.246,82536,59,BBRV3 Flow,5267472bps,4890168bps,1.0
66,5.214484265746837,11.453,31.295,8688,95,BBRV3 Flow,6220352bps,4883296bps,1.25
67,5.211543803313935,8.564,2.889,7240,45,BBRV3 Flow,6686536bps,4913888bps,1.0
68,5.215006021412251,13.672,5.1080000000000005,10136,35,BBRV3 Flow,6797104bps,5189376bps,1.25
69,5.2122320893133125,6.887,6.785000000000001,5792,39,BBRV3 Flow,10437208bps,5400776bps,1.0
70,5.214129543959443,9.4,2.513000000000001,5792,26,BBRV3 Flow,13725112bps,1575856bps,1.0
71,0.0,21.187,11.787,8688,9,BBRV3 Flow,8595024bps,4816344bps,1.0
72,0.0,15.468,5.719000000000001,8688,4,BBRV3 Flow,3406840bps,5118112bps,1.0
73,5.215193854133528,15.761,0.2929999999999992,14480,15,BBRV3 Flow,42178112bps,13214312bps,1.0
74,5.214040948766972,15.337,0.4239999999999995,13032,14,BBRV3 Flow,46270856bps,5634064bps,0.90625
75,5.213420245147306,36.925,21.588,17376,15,BBRV3 Flow,5445880bps,9483416bps,1.0
76,0.0,68.612,31.687,21720,13,BBRV3 Flow,11863104bps,4852608bps,1.0
77,10.434114107592878,50.463,18.148999999999997,41992,11,BBRV3 Flow,6322032bps,4902656bps,1.25
78,5.214014837074168,25.699,24.764,28960,6,BBRV3 Flow,6612032bps,6678576bps,1.0
79,5.210945117506877,44.757,19.058,89776,13,BBRV3 Flow,7516056bps,5241624bps,0.90625
80,5.210570077398079,51.801,7.044000000000004,56472,38,BBRV3 Flow,6324256bps,3937792bps,1.0
81,5.211122100544742,11.312,40.489,8688,61,BBRV3 Flow,2906472bps,4057720bps,1.0
82,5.2143695432539845,9.904,1.4079999999999997,8688,39,BBRV3 Flow,4807440bps,6215008bps,1.0
83,5.213436095028312,12.592,2.6880000000000006,8688,35,BBRV3 Flow,5352240bps,3815856bps,0.90625
84,5.211898483955834,13.646,1.0540000000000005,8688,36,BBRV3 Flow,50488776bps,5206088bps,1.0
85,5.21439037325024,23.443,9.797,8688,20,BBRV3 Flow,68030184bps,7088056bps,1.0
86,0.0,17.247,6.1960000000000015,15928,17,BBRV3 Flow,16626800bps,4849392bps,1.0
87,5.211689769361275,15.943,1.3040000000000005,13032,7,BBRV3 Flow,29445520bps,4793880bps,1.0
88,0.0,26.387,10.444,13032,7,BBRV3 Flow,8951840bps,4580880bps,1.0
89,5.214338143126388,48.424,22.037,62264,1,BBRV3 Flow,14896720bps,4599376bps,1.0
90,10.434897182744006,27.473,20.951,53576,5,BBRV3 Flow,13887328bps,5120480bps,0.90625
91,5.2117730047253605,22.27,5.202999999999999,62264,5,BBRV3 Flow,4922280bps,4351608bps,1.0
92,5.212565737380625,18.814,3.4559999999999995,27512,16,BBRV3 Flow,6872296bps,4963152bps,1.25
93,5.2106427216801166,14.474,4.34,20272,39,BBRV3 Flow,7995888bps,6460680bps,1.25
94,10.43223470890188,31.55,17.076,26064,47,BBRV3 Flow,8724896bps,4591808bps,1.0
95,5.210861287632143,11.168,20.382,8688,71,BBRV3 Flow,4614680bps,2528888bps,1.0
96,5.213409989393304,10.793,0.375,11584,50,BBRV3 Flow,3489544bps,4405232bps,1.0
97,5.213373317633333,7.814,2.978999999999999,10136,30,BBRV3 Flow,6086376bps,1373440bps,1.0
98,5.213425528430268,10.44,2.6259999999999994,7240,53,BBRV3 Flow,5424096bps,4956512bps,0.90625
99,0.0,8.509,1.9309999999999992,10136,23,BBRV3 Flow,6426784bps,9547904bps,1.0
100,5.212956290353182,14.229,5.719999999999999,10136,39,BBRV3 Flow,18421816bps,5041216bps,1.0
101,5.215595687438078,36.004,21.775,15928,13,BBRV3 Flow,36972152bps,5089424bps,1.0
102,0.0,30.512,5.491999999999997,8688,12,BBRV3 Flow,69868776bps,6359752bps,1.25
103,5.215011307909755,8.874,21.638,10136,25,BBRV3 Flow,10208216bps,18751920bps,1.0
104,5.215183280409032,26.951,18.077,33304,12,BBRV3 Flow,42999744bps,7068928bps,1.0
105,5.212893835230959,31.547,4.596,30408,23,BBRV3 Flow,42466568bps,3410768bps,1.0
106,5.211335738189827,18.437,13.11,14480,28,BBRV3 Flow,5852600bps,4112536bps,1.0
107,5.2117730047253605,32.431,13.993999999999996,28960,17,BBRV3 Flow,4998152bps,4547024bps,1.0
108,5.213613247315181,19.894,12.537,21720,25,BBRV3 Flow,6231288bps,5117056bps,1.0
109,5.21042914085023,59.054,39.16,39096,21,BBRV3 Flow,4819744bps,4035528bps,1.0
110,10.433529678972755,24.446,34.608000000000004,18824,45,BBRV3 Flow,4846408bps,560216bps,1.0
111,0.0,9.886,14.560000000000002,7240,41,BBRV3 Flow,4899720bps,374408bps,1.0
112,5.213019057705146,11.136,1.25,5792,28,BBRV3 Flow,4495744bps,574240bps,1.0
113,5.212956290353182,8.207,2.9289999999999985,8688,33,BBRV3 Flow,11366160bps,3960336bps,1.0
114,5.2135193861829645,8.993,0.7859999999999996,10136,30,BBRV3 Flow,55877936bps,43326752bps,1.0
